"film","directors","writers","countries"
"Fasten Your Seatbelt","Kim Sung-hoon","Ha Jung-woo","South Korea"
"Upkar","Harikishan Giri Goswami","Manoj Kumar","Bhārat Gaṇarājya; India"
"Where Is Freedom?","Roberto Gastone Zeffiro Rossellini","Antonio Pietrangeli; Ennio Flaiano; Vincenzo Talarico; Vitaliano Brancati","Italy"
"Kolakkomaban","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Navajeros","Eloy Germán de la Iglesia Diégue","Eloy de la Iglesia","Mexico; Spain"
"Mr. Bones 2: Back from the Past","Gray Hofmeyr","Gray Hofmeyr; Leon Schuster","South Africa"
"Nenjirukkum Varai","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar; Chitralaya Gopu","Bhārat Gaṇarājya; India"
"Hulchul","Priyadarshan Soman Nair","Neeraj Vora","Bhārat Gaṇarājya; India"
"Le Boucher","Claude Henri Jean Chabrol","Claude Chabrol","France; Italy"
"Héroe a la fuerza","Miguel Melitón Delgado Pardavé","Eulalio González; José María Fernández Unsáin","Mexico"
"The Tale of the Fox","Władysław Starewicz","Jean Nohain; Ladislas Starevich; Ladislav Starevich; Roger Richebé","France"
"Happy New Year","Farah Khan","Farah Khan; Mayur Puri","Bhārat Gaṇarājya; India"
"The State of Things","Ernst Wilhelm Wenders","Robert Kramer; Wim Wenders","''; Federal Republic of Germany; Portugal; West Germany"
"Sumaithaangi","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Padmaragam","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Kanto Wanderer","Seitaro Suzuki","Hirabayashi Taiko; Taiko Hirabayashi; Yasutarō Yagi","Japan"
"A Tight Corner","Leslie Stephenson Hiscott","Michael Barringer","United Kingdom"
"Rathimanmadhan","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Chattambikkalyaani","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Strange Occasion","Giovanni Loi","Piero De Bernardi; Rodolfo Sonego; Sergio Corbucci","Italy"
"De Dana Dan","Priyadarshan Soman Nair","Priyadarshan","Bhārat Gaṇarājya; India"
"Les Compères","Francis Paul Veber","Francis Veber","France"
"The Gun That Won the West","William Schloss, Jr.","Robert E. Kent","the United States"
"Mayangukiral Oru Maadhu","Muthuraman","Panchu Arunachalam","Bhārat Gaṇarājya; India"
"Dropout","Giovanni Brass","Tinto Brass","Italy"
"Thaamarathoni","K. Velayudan Nair","Dr. Balakrishnan","Bhārat Gaṇarājya; India"
"Die Geschichte von dem kleinen Muck","Georg Friedrich Staudte","Wilhelm Hauff","''; East Germany; German Democratic Republic"
"Chloe","Atom Yeghoyan","Erin Cressida Wilson","France"
"Faslah","Khwaja Ahmad Abbas","Inder Raj Anand","Bhārat Gaṇarājya; India"
"Boy Meets Girl","Michal Breslavy","Michal Bat-Adam","Israel"
"Sethu...","Bala Pazhanisaamy","Bala","Bhārat Gaṇarājya; India"
"Oh Schucks....It's Schuster!","Leon Ernest Schuster","Leon Schuster","South Africa"
"Beluvalada Madilalli","Lakshman Rao Mohite","Geethapriya","Bhārat Gaṇarājya; India"
"Geet Gaya Patharon Ne","Shantaram Rajaram Vankudre","Hasrat Jaipuri; V. Shantaram","Bhārat Gaṇarājya; India"
"Shraap 3D","Faisal Abdul Razzak Saif Al Zedjally","Faisal Saif","Bhārat Gaṇarājya; India"
"Puriyadha Puthir","K. S. Ravikumar","K. S. Ravikumar","Bhārat Gaṇarājya; India"
"Chatriyan","Shankar Krishnan","Mani Ratnam","Bhārat Gaṇarājya; India"
"Airport (film series)","George Stenius","Eric R. Roth; Eric Roth; George Seaton; Jennings Lang","the United States"
"Pagalil Oru Iravu","Irruppam Veedu Sasidaran","J. Mahendran","Bhārat Gaṇarājya; India"
"Resident Evil: Afterlife","Paul William Scott Anderson","Paul W. S. Anderson","France; Germany"
"The Expendables","Sylvester Gardenzio Stallone","David Callaham; Sylvester Stallone","the United States"
"A Moment to Remember","Lee Jae-han","John H. Lee; Kim Young-ha; Lee Jae-han","South Korea"
"The BFG","Brian Joseph Cosgrove","John Hambley","United Kingdom"
"143 (I Miss You)","Puri Jagannadh","Puri Jagannadh","Bhārat Gaṇarājya; India"
"Because of the Cats","Alphonse Marie Rademakers","Hugo Claus; Nicolas Freeling","Belgium; the Netherlands"
"Deceiver","Jonas James Pate; Joshua Warren Pate","Jonas Pate; Josh Pate","the United States"
"Quando Elas Querem","Eugenio Centenaro","Eugenio Centenaro Kerrigan","Brazil"
"Dancers","Herbert David Ross","Sarah Kernochan","the United States"
"My Right to Ravage Myself","Jeon Soo-il","Jeon Soo-il","South Korea"
"Piranha","Joseph James Dante, Jr.","John Sayles","the United States"
"Arven","Per Fly Plejdrup","Mogens Rukov; Per Fly","Denmark"
"Lost in the Desert","Jacobus Johannes Uys","Jamie Uys","South Africa"
"Ithikkara Pakki","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"aka: The Divine Mr. J","Peter Alexander McWilliams","Peter McWilliams","the United States"
"Relaks, It's Just Pag-Ibig","Antoinette B. Jadaone","Antoinette Jadaone","Republika ng Pilipinas; the Philippines"
"Around the World in 80 Days","Michael Joseph Anderson, Sr.","James Poe; John Farrow; S. J. Perelman","the United States"
"The Time-Out Chair","Josh Selig","Josh Selig","the United States"
"Theekkali","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Once Were Warriors","Warren Lee Tamahori","Riwia Brown","Aotearoa (Māori); New Zealand"
"La Vie de Bohème","Aki Olavi Kaurismäki","Aki Kaurismäki; Henri Murger","Finland; France; Italy; Konungariket Sverige; Sweden; font-size:88%;"
"Fäbodjäntan","Joseph William Sarno","Joseph W. Sarno","Konungariket Sverige; Sweden"
"Julie","K. Subrahmanyam Sethumadhavan","Inder Raj Anand","Bhārat Gaṇarājya; India"
"Cracking Up","Joseph Levitch","Bill Richmond; Jerry Lewis","the United States"
"Parivarthanam","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Manasilloru Manimuthu","Nambiathusseril Varkey John","J. Sasikumar","Bhārat Gaṇarājya; India"
"The Barretts of Wimpole Street","Sidney Arnold Franklin","John Dighton","United Kingdom"
"Badrinath","Gandrothu Veera Venkata Vinayak","V. V. Vinayak","Bhārat Gaṇarājya; India"
"Beyond","William Cunningham Deane-Tanner","Julia Crawford Ivers","the United States"
"Kodungattu","Joshi","Cochin Haneefa; Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"थानेदार","Raj Sippy","Vinay Shukla","Bhārat Gaṇarājya; India"
"La fuga","Eduardo Mario Mignogna","Eduardo Mignogna; Jorge Goldenberg","Argentina"
"The Freediver","Alkiviades David","Alki David","United Kingdom"
"Mr. Pip","Andrew Ralph Adamson","Andrew Adamson","Aotearoa (Māori); Australia; Independen Stet bilong Papua Niugini; New Zealand; Papua New Guinea; Papua Niu Gini"
"The Manitou","William Brent Girdler","Jon Cedar; William Girdler","the United States"
"Kein Platz für wilde Tiere","Bernhard Klemens Maria Hoffbauer Pius Grzimek","Bernhard Grzimek","''; Federal Republic of Germany; West Germany"
"Silent Tongue","Samuel Shepard Rogers III","Sam Shepard","France; the Netherlands"
"Eddie Macon's Run","Jeffrey Roger Kanew","Jeff Kanew","the United States"
"Her Last Affaire","Michael Latham Powell","Ian Dalrymple","United Kingdom"
"ДМБ","Roman R. Kachanov","(Роман Романович Качанов); Ivan Okhlobystin; Roman Kachanov; Roman Romanovich Kachanov","Russia"
"From the Hip","Benjamin Clark","Bob Clark; David E. Kelley","the United States"
"Lakeboat","Joseph Anthony Mantegna, Jr.","David Mamet","the United States"
"Katmandú","Icíar Bollaín Pérez-Mínguez","Icíar Bollaín","Spain"
"Murmur of the Heart","Louis Marie Malle","Louis Malle","France"
"Mucheettukalikkaarante Makal","Thoppil Bhaskara Pillai","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"The Reader","Stephen David Daldry","David Hare; Sir David Hare","Germany"
"Love Story 2050","Harjaspal Baweja","Harry Baweja; Mayur Puri","Bhārat Gaṇarājya; India"
"M","Friedrich Christian Anton Lang","Fritz Lang; Thea von Harbou","Deutsches Reich; German Reich; Weimar Republic"
"Oscar and Lucinda","Gillian May Armstrong","Laura Jones","Australia"
"Ondine","Neil Patrick Jordan","Neil Jordan","Ireland"
"Grizzly Man","Werner Herzog Stipetić","Werner Herzog","the United States"
"Kalpavriksham","Nambiathusseril Varkey John","Chirayinkeezhu Ramakrishnan Nair; Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Saathi","Chithamur Vijayaraghavulu Sridhar","Abrar Alvi; C. V. Sridhar; अबरार अलवी","Bhārat Gaṇarājya; India"
"Blood and Roses","Roger Vadim Plemiannikov","Joseph Sheridan Le Fanu; Roger Vailland; Sheridan Le Fanu","Italy"
"Aakasmika","Talakadu Srinivasaiah Nagabharana","T. R. Subba Rao; T. R. Subba Rao (Ta Ra Su)","Bhārat Gaṇarājya; India"
"Vinayaka Chaviti","Samudrala Venkata Raghavacharyulu","Samudrala Raghavacharya","Bhārat Gaṇarājya; India"
"Cage of Gold","Basil Clive Dear","Jack Whittingham","United Kingdom"
"Golddigger","Mihaly Kertesz","Ferenc Molnár","Hungary"
"Virgin Witch","Raymond John Austin","Beryl Vertue","United Kingdom"
"Chasing Mavericks","Curtis Lee Hanson","Kario Salem","the United States"
"Johnny","Konidela Kalyan Babu","Pawan Kalyan","Bhārat Gaṇarājya; India"
"Pulivalu","Nambiathusseril Varkey John","S. L. Puram Sadanandan; Veeran","Bhārat Gaṇarājya; India"
"Roman Holiday","Willy Wyler","Dalton Trumbo; Ian McLellan Hunter; John Dighton","the United States"
"Bhajantrilu","Mailavarapu Surya Narayana","M. S. Narayana","Bhārat Gaṇarājya; India"
"Bananas","Allan Stewart Konigsberg","Mickey Rose; Woody Allen","the United States"
"Krishna Rukmini","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Kamaal Dhamaal Malamaal","Priyadarshan Soman Nair","Neeraj Vora","Bhārat Gaṇarājya; India"
"Senso","Luchino Visconti di Modrone","Giorgio Bassani; Giorgio Prosperi; Luchino Visconti; Suso Cecchi d'Amico","Italy"
"The Amorous Milkman","Derren Michael Horwitz","Derren Nesbitt","United Kingdom"
"Day Watch","Timur Nuruakhitovich Bekmambetov","Sergei Vasilievich Lukyanenko; Sergey Lukyanenko; Timur Bekmambetov","Russia"
"Onde Guri","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Subway Serial Rape: Lover Hunting","　Shūji Kataoka","Shuji Kataoka; Shūji Kataoka","Japan"
"Aadharsam","Joshi","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Kaadhal Mannan","K. V. Saravanan","Saran","Bhārat Gaṇarājya; India"
"Egen ingång","Hans Gösta Ekman","Hasse Ekman; Sigurd Hoel","Konungariket Sverige; Sweden"
"Ahmad Albab","Teuku Zakaria bin Teuku Nyak Puteh","P. Ramlee","Malaysia"
"Breathful","Ali Reza Shokoufandeh","Daryush Shokof","Germany"
"Accidental Meeting","Michael Allan Zinberg","Christopher Horner","the United States"
"Blood Oath","Stephen Henry Wallace","Denis Whitburn","Australia"
"You I Love","Dmitry Troitsky","Dmitry Troitsky","Russia"
"Slime City","Gregory Lamberson","Greg Lamberson","the United States"
"Thani Oruvan","Raja Mohan","M. Raja; Mohan Raja","Bhārat Gaṇarājya; India"
"Jai Karnataka","Bungle Shama Rao Dwarakanath","Dwarakish","Bhārat Gaṇarājya; India"
"House of Secrets","Guy Mervin Charles Green","Bryan Forbes; Robert Buckner","United Kingdom"
"Lost Killers","Dmitri Tsintsadze","Dito Tsintsadze","Germany"
"Kasthooriman","Ambazhathil Karunakaran Lohithadas","A. K. Lohithadas","Bhārat Gaṇarājya; India"
"The Day the Earth Caught Fire","Valmond Maurice Guest","Val Guest; Wolf Mankowitz","United Kingdom"
"Operation Duryodhana","Krishna Murali Posani Subba Rao","Posani Krishna Murali","Bhārat Gaṇarājya; India"
"Road Movie trilogy","Ernst Wilhelm Wenders","Peter Handke; Wim Wenders","''; Federal Republic of Germany; West Germany"
"Murphy's Law","John Lee Thompson","Gail Morgan Hickman","the United States"
"L'Age d'Or","Luis Buñuel Portolés","Luis Buñuel; Salvador Dalí","France"
"The Top of His Head","Peter Mark Mettler","Peter Mettler","Canada"
"Pepo","Ambartsum Beknazaryan","Hamo Beknazarian","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Fool's Mate","Jacques Pierre Louis Rivette","Claude Chabrol; Jacques Rivette","France"
"The Fast and the Furious","Felix Gary Gray; John Daniel Singleton","David Ayer; Derek Haas; Gary Scott Thompson","the United States"
"Then Nilavu","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Fathom","Leslie Herbert Martinson","Lorenzo Semple Jr.; Lorenzo Semple, Jr.","United Kingdom"
"Pippi Goes on Board","Nils Olof Hellbom","Astrid Lindgren","''; Federal Republic of Germany; Konungariket Sverige; Sweden; West Germany"
"Nothing to Declare","Daniel Hamidou","Dany Boon","Belgium"
"The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks","Lev Vladimirovich Kuleshov","(Всеволод Пудовкин); Vsevolod Pudovkin","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Redbelt","David Alan Mamet","David Mamet","the United States"
"House of Fools","Andron Sergeyevich Mikhalkov","Andrei Konchalovsky","Russia"
"Bhaaryayum Kaamukiyum","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"The Terror","John Joseph Nicholson; Roger William Corman","Jack Hill; Leo Gordon","the United States"
"House of Angels","Colin James Nutley","Colin Nutley","Konungariket Sverige; Sweden"
"Velicham Akale","K. Velayudan Nair","Kakkanadan","Bhārat Gaṇarājya; India"
"Engirundho Vandhaal","A. Chengalvaraya Mudaliar Thirulokachander","A. C. Tirulokchandar","Bhārat Gaṇarājya; India"
"Katyń","Andrzej Witold Wajda","Andrzej Wajda","Poland"
"None but the Brave","Francis Albert Sinatra","John Twist","Japan"
"Vatsalyam","Salim Ahmed Ghoush","A. K. Lohithadas","Bhārat Gaṇarājya; India"
"Anbu Karangal","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"Veerappan","Penmetsa Ram Gopal Varma","Ram Gopal Varma; రాం గోపాల్ వర్మ","Bhārat Gaṇarājya; India"
"Lumpaci the Vagabond","Géza Maria von Bolváry-Zahn","Johann Nestroy","Austria"
"Zotz!","William Schloss, Jr.","Ray Russell; Walter Karig","the United States"
"Olangal (The Ripples)","Balanathan Benjamin Mahendran","Balu Mahendra","Bhārat Gaṇarājya; India"
"Vellayani Paramu","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Nizhalkuthu","Moutathu Gopalakrishnan Unnithan","Adoor Gopalakrishnan","Bhārat Gaṇarājya; India"
"Trolls","Walter Dohrn","Glenn Berger; Jonathan Aibel","the United States"
"Housos vs. Authority","Paul Fenech","Paul Fenech","Australia"
"The Trial","George Orson Welles","Orson Welles","Germany"
"Quicksand","John Leonard Duncan MacKenzie","Timothy Prager","Finland; font-size:88%;"
"The Mouse and His Child","Fredrick Wolf","Russell Hoban","the United States"
"Devi Dharisanam","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"Kaliyuga Bheema","Prabhakar","Tiger Prabhakar","Bhārat Gaṇarājya; India"
"Velainu Vandhutta Vellaikaaran","Ezhilmaaran","Ezhil","Bhārat Gaṇarājya; India"
"Zvenigora","Alexander Petrovich Dovzhenko","Alexander Dovzhenko; Yurii Tiutiunnyk; Yuriy Yosipovich Tyutyunnyk","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Intern Academy","David William Thomas","Dave Thomas","Canada"
"The Devil's Advocate","Guy Mervin Charles Green; Taylor Edwin Hackford","Jonathan Lemkin; Morris West; Morris WestAO; The Devil's Advocate; Tony Gilroy","''; Federal Republic of Germany; West Germany; the United States"
"சுமைத்தாங்கி","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Everest","Baltasar Kormákur Samper","Simon Beaufoy; William Nicholson","Iceland; Lýðveldið Ísland; Nepal"
"Balondu Bhavageethe","Lakshman Rao Mohite","Geethapriya","Bhārat Gaṇarājya; India"
"Hare Rama Hare Krishna","Dharamdev Anand","Dev Anand","Bhārat Gaṇarājya; India"
"Excellensen","Hans Gösta Ekman","Bertil Malmberg; Sven Stolpe","Konungariket Sverige; Sweden"
"L'Étoile de mer","Emmanuel Radnitzky","Robert Desnos","France"
"Catch-22","Mikhail Igor Peschkowsky","Buck Henry","the United States"
"Andy Hardy's Private Secretary","George Brackett Seitz","Aurania Rouverol; Carey Wilson; Jane Murfin; Katharine Brush","the United States"
"Sinong kapiling? Sinong kasiping?","Edgar Sinco Romero","Eddie Romero","Republika ng Pilipinas; the Philippines"
"Mugdha Manava","Kikkeri Shamanna Lakshminarasimha Swamy","K. S. L. Swamy","Bhārat Gaṇarājya; India"
"Siddheshwari","Rabindranath Kaul","Mani Kaul","Bhārat Gaṇarājya; India"
"Burning Secret","Andrew Timothy Birkin","Stefan Zweig","United Kingdom"
"Ormayil Nee Maathram","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Ottaal (The Trap)","Jayaraj Rajasekharan Nair","Joshy Mangalath","Bhārat Gaṇarājya; India"
"Aadhavan","K. S. Ravikumar","K. S. Ravikumar","West Bengal; পশ্চিমবঙ্গ"
"Er Conde Jones","Benjamín Rausseo Rodríguez","Benjamín Rausseo","Venezuela; font-size:88%;"
"Barfuss","Tilman Valentin Schweiger","Til Schweiger","Germany"
"Forgotten Silver","Peter Robert Jackson","Peter Jackson","Aotearoa (Māori); New Zealand"
"Mukhyamanthri","Ashraf","Alleppey Ashraf","Bhārat Gaṇarājya; India"
"Aarambham","Joshi","Cochin Haneefa; Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"The Lovely Bones","Peter Robert Jackson","Fran Walsh; Peter Jackson; Philippa Boyens","Aotearoa (Māori); New Zealand"
"Race with the Devil","Claude Ennis Starrett, Jr.","Lee Frost","the United States"
"Amsterdamned","Dick Herman Willem Maas","Dick Maas","the Netherlands"
"Dowry Kalyanam","M R Viswanthan","Visu","Bhārat Gaṇarājya; India"
"Mettukudi","Vinayaga Sundara Vadivel Chidambaram Pillai","K. Selva Bharathy; Sundar C.","Bhārat Gaṇarājya; India"
"The Missing Link","Jean-Paul Walravens","Jim Vallely; Jonathan Schmock; Picha; Tony Hendra","Belgium; France"
"Madeinusa","Claudia Llosa Bueno","Claudia Llosa","Peru; font-size:88%;"
"Swaham","Shaji Neelakantan Karunakaran","Shaji N. Karun","Bhārat Gaṇarājya; India"
"Hussar Ballad","Eldar Alexandrovich Ryazanov","Eldar Ryazanov","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Termini Station","Allan Winton King","Colleen Murphy","Canada"
"Spotswood","Mark Joffe","Andrew Knight","Australia"
"Una mujer sin amor","Luis Buñuel Portolés","Guy de Maupassant","Mexico"
"Trash","Stephen David Daldry","Richard Curtis","Brazil; United Kingdom"
"Staying Alive","Sylvester Gardenzio Stallone","Norman Wexler; Sylvester Stallone","the United States"
